Year,Name,Position,School,Stats,Unaminous,ID
2018,Greedy Williams*,DB,LSU,23 Solo 10 Ast 0.0 Sk 2 Int,No,greedy-williams-1
2018,Braden Mann*,P,Texas A&M,50 Punts 2549 Yds 51.0 Avg,Yes,braden-mann-1
2019,Tyler Biadasz*,C,Wisconsin,,Yes,tyler-biadasz-1
2019,Joe Burrow*,QB,LSU,402 Cmp 527 Att 5671 Yds 60 TD 6 Int,Yes,joe-burrow-1
2019,Chuba Hubbard*,RB,Oklahoma State,328 Att 2094 Yds 6.4 Avg 21 TD,Yes,chuba-hubbard-1
2019,Jonathan Taylor*,RB,Wisconsin,320 Att 2003 Yds 6.3 Avg 21 TD,Yes,jonathan-taylor-1
2019,Ja'Marr Chase*,WR,LSU,84 Rec 1780 Yds 21.2 Avg 20 TD,Yes,jamarr-chase-1
2019,CeeDee Lamb*,WR,Oklahoma,62 Rec 1327 Yds 21.4 Avg 14 TD,No,ceedee-lamb-1
2019,Harrison Bryant*,TE,Florida Atlantic,65 Rec 1004 Yds 15.4 Avg 7 TD,Yes,harrison-bryant-1
2019,Wyatt Davis*,OL,Ohio State,,No,wyatt-davis-1
2019,Penei Sewell*,OL,Oregon,,Yes,penei-sewell-1
2019,John Simpson*,OL,Clemson,,No,john-simpson-3
2019,Andrew Thomas*,OL,Georgia,,Yes,andrew-thomas-2
2019,Keith Duncan*,K,Iowa,32 XPM 32 XPA 29 FGM 34 FGA 119 Pts,No,keith-duncan-1
2019,Lynn Bowden Jr.*,AP,Kentucky,185 Att 1468 Yds 7.9 Avg 13 TD,No,lynn-bowden-jr-1
2019,Bradlee Anae*,DL,Utah,30 Solo 11 Ast 13.0 Sk 0 Int,No,bradlee-anae-1
2019,Derrick Brown*,DL,Auburn,33 Solo 22 Ast 4.0 Sk 0 Int,Yes,derrick-brown-6
2019,James Lynch*,DL,Baylor,23 Solo 18 Ast 13.5 Sk 0 Int,Yes,james-lynch-3
2019,Chase Young*,DL,Ohio State,32 Solo 14 Ast 16.5 Sk 0 Int,Yes,chase-young-1
2019,Isaiah Simmons*,LB,Clemson,67 Solo 36 Ast 7.0 Sk 3 Int,Yes ,isaiah-simmons-1
2019,Evan Weaver*,LB,California,103 Solo 79 Ast 2.5 Sk 0 Int,Yes,evan-weaver-1
2019,Grant Delpit*,DB,LSU,38 Solo 27 Ast 2.0 Sk 2 Int,No,grant-delpit-1
2019,Jeffrey Okudah*,DB,Ohio State,29 Solo 6 Ast 0.0 Sk 3 Int,Yes,jeffrey-okudah-1
2019,J.R. Reed*,DB,Georgia,29 Solo 25 Ast 0.5 Sk 1 Int,No,jr-reed-3
